# x_m,y_m,w_tr_right_m,w_tr_left_m
39.9500,-27.7000,0.8259,0.8259
40.7000,-28.7500,0.8308,0.8308
41.5000,-29.8000,0.8062,0.8062
42.1500,-30.7500,0.7925,0.7925
42.9000,-31.8000,0.8404,0.8404
43.6500,-32.8000,0.8062,0.8062
44.3500,-33.8500,0.8000,0.8000
45.1000,-34.8500,0.8124,0.8124
45.8500,-35.9000,0.8259,0.8259
46.6000,-36.9500,0.8000,0.8000
47.3000,-37.9500,0.7708,0.7708
47.8500,-39.0000,0.8124,0.8124
48.4500,-40.0500,0.8296,0.8296
48.9500,-41.1000,0.8296,0.8296
49.3500,-42.1500,0.7849,0.7849
49.7500,-43.2000,0.7849,0.7849
50.1500,-44.2500,0.8308,0.8308
50.5500,-45.3000,0.8308,0.8308
50.9000,-46.3500,0.8308,0.8308
51.2500,-47.4000,0.7962,0.7962
51.6000,-48.4500,0.8062,0.8062
52.0000,-49.5000,0.8308,0.8308
52.3500,-50.5500,0.8198,0.8198
52.7500,-51.6000,0.8124,0.8124
53.1000,-52.6500,0.8124,0.8124
53.4500,-53.7000,0.7849,0.7849
53.8500,-54.7500,0.8198,0.8198
54.1500,-55.8000,0.7823,0.7823
54.5500,-56.8500,0.8308,0.8308
54.9500,-57.9000,0.8296,0.8296
55.3000,-58.9500,0.8308,0.8308
55.6500,-60.0000,0.7962,0.7962
56.0000,-61.0500,0.8062,0.8062
56.3500,-62.1000,0.8062,0.8062
56.7500,-63.1500,0.8198,0.8198
57.1500,-64.2000,0.8124,0.8124
57.5000,-65.2500,0.8124,0.8124
57.8500,-66.3000,0.8062,0.8062
58.2000,-67.3500,0.7962,0.7962
58.5500,-68.4000,0.8062,0.8062
58.9500,-69.4500,0.8308,0.8308
59.3500,-70.5000,0.8308,0.8308
59.7000,-71.5500,0.8308,0.8308
60.0500,-72.6000,0.8124,0.8124
60.4500,-73.6500,0.8124,0.8124
60.8000,-74.7000,0.8112,0.8112
61.1500,-75.7500,0.8296,0.8296
61.5500,-76.8000,0.8124,0.8124
61.9000,-77.8500,0.8124,0.8124
62.2500,-78.9000,0.8198,0.8198
62.6500,-79.9500,0.8308,0.8308
63.0000,-81.0000,0.8124,0.8124
63.3500,-82.0500,0.8062,0.8062
63.7500,-83.1000,0.8198,0.8198
64.1000,-84.1500,0.8308,0.8308
64.4500,-85.2000,0.8124,0.8124
64.8500,-86.2500,0.8296,0.8296
65.2000,-87.3000,0.8062,0.8062
65.5500,-88.3500,0.8124,0.8124
65.9500,-89.4000,0.8308,0.8308
66.3500,-90.4500,0.8112,0.8112
66.7000,-91.5000,0.8296,0.8296
67.0500,-92.5500,0.8124,0.8124
67.4500,-93.6000,0.7962,0.7962
67.8000,-94.6500,0.8062,0.8062
68.2000,-95.7000,0.8112,0.8112
68.5500,-96.7500,0.8198,0.8198
68.9000,-97.8000,0.8308,0.8308
69.2500,-98.8500,0.7862,0.7862
69.5000,-99.9000,0.7823,0.7823
69.6000,-100.9500,0.8000,0.8000
69.4500,-102.0000,0.8308,0.8308
68.8000,-103.0500,0.8512,0.8512
67.8000,-103.9500,0.8124,0.8124
66.7500,-104.6000,0.8124,0.8124
65.9000,-105.6500,0.7862,0.7862
65.4500,-106.7000,0.7962,0.7962
65.3000,-107.7500,0.8000,0.8000
65.3500,-108.8000,0.8308,0.8308
65.6500,-109.8500,0.8198,0.8198
66.0000,-110.9000,0.8112,0.8112
66.3000,-111.9500,0.8124,0.8124
66.6000,-113.0000,0.8124,0.8124
66.9500,-114.0500,0.8296,0.8296
67.2500,-115.1000,0.8124,0.8124
67.5000,-116.1500,0.8112,0.8112
67.5000,-117.2000,0.7500,0.7500
67.4500,-118.2500,0.7849,0.7849
67.1000,-119.3000,0.7849,0.7849
66.3500,-120.3000,0.8259,0.8259
65.3000,-121.1500,0.8296,0.8296
64.2500,-122.0000,0.8000,0.8000
63.2000,-122.8000,0.8124,0.8124
62.1500,-123.6000,0.8259,0.8259
61.1000,-124.4500,0.8259,0.8259
60.0500,-125.2500,0.8296,0.8296
59.0000,-126.1000,0.8000,0.8000
57.9500,-126.9500,0.8259,0.8259
56.9000,-127.7500,0.8259,0.8259
55.8500,-128.6000,0.8259,0.8259
54.8000,-129.4500,0.8000,0.8000
53.7500,-130.2500,0.8308,0.8308
52.7000,-131.1000,0.8259,0.8259
51.6500,-131.9000,0.8259,0.8259
50.6000,-132.7500,0.8308,0.8308
49.5500,-133.6000,0.8124,0.8124
48.5000,-134.4000,0.8259,0.8259
47.4500,-135.2000,0.8259,0.8259
46.4000,-135.7000,0.8112,0.8112
45.3500,-135.8500,0.8500,0.8500
44.3000,-135.6500,0.8112,0.8112
43.2500,-135.3000,0.8296,0.8296
42.2000,-134.5000,0.8308,0.8308
